
identity1	|	identity2
157255803	|	138135863
137130332	|	141098761
135910029	|	137132832
137162486	|	135803427
156899824	|	139010612
135133021	|	138314308
143424842	|	141838783
133998289	|	137151959
135896343	|	137841271
133721580	|	139465864
135779775	|	136124080
133920369	|	137811939
139491865	|	136294578
134039575	|	159754454
150142865	|	138955006
136745694	|	141233459
135601635	|	140742524
134663731	|	138367898
135724947	|	141180458
134868745	|	140340126
134036367	|	140118137
134505929	|	136225029
135253449	|	137717099
137821097	|	139436528
134444895	|	137293019
137253296	|	137544714
133693830	|	137334446
134631162	|	142772990
134720870	|	136128439
135333909	|	138546929


'identity1' is faster than 'identity2': executed in 98% of time


identity0.5	|	identity1.0
57482850	|	117471016
56036020	|	114777121
55607742	|	122531333
56279724	|	116204123
59759011	|	115394858
59306324	|	118177171
56681408	|	113930325
61123067	|	116571314
54997366	|	121188044
54390215	|	114805404
59587999	|	120327901
56108055	|	119663495
54140547	|	114141492
58981870	|	114190782
56766180	|	118132621
58929058	|	117022229
56023682	|	114859732
55876961	|	115821952
58779329	|	114316857
60300914	|	115481600
57374600	|	118813324
63264947	|	114022605
56681582	|	113253128
55025550	|	118077685
58362721	|	115068440
54865462	|	116717385
55771337	|	119279329
59661728	|	118367647
56670375	|	114463549
56395326	|	118908035


'identity0.5' is faster than 'identity1.0': executed in 49% of time


Head recursion	|	Tail recursion
116823822	|	97397715
112607140	|	96128068
112543698	|	97037097
111853922	|	95999344
113618081	|	97819339
114030444	|	99798969
116714959	|	96138747
112923372	|	96565909
113471776	|	97154167
112493347	|	100033832
111842868	|	95721778
113206109	|	97610895
116476896	|	106998561
111595100	|	95674465
117659263	|	98694794
115263366	|	99476460
112678991	|	97173204
114684085	|	92763496
114969587	|	97868842
112659087	|	98463015
118252117	|	95569577
112336120	|	97737477
112756316	|	94630208
114210845	|	98480295
112606373	|	97753375
113471896	|	96740098
114243392	|	94290599
139103750	|	105955946
111117113	|	98611594
115998236	|	92956117


'Tail recursion' is faster than 'Head recursion': executed in 85% of time


List to sum	|	Seq to sum
39746611	|	323219
39360493	|	334176
41373150	|	336878
40368324	|	323732
44526687	|	451108
42172863	|	317756
40813554	|	323356
43653956	|	339029
44156844	|	387591
48376038	|	334176
41026419	|	323221
41933183	|	328974
40713441	|	333870
42320974	|	323127
44282897	|	403599
41513326	|	340008
41704352	|	318612
41462061	|	317902
45835129	|	357255
41147994	|	345951
42310248	|	317440
41829206	|	338274
42247466	|	317402
45807543	|	347350
42761710	|	349641
41509783	|	334622
41424501	|	317925
41517169	|	317242
43804466	|	318078
43747616	|	334859


'Seq to sum' is faster than 'List to sum': executed in 0% of time


List to ++	|	Vector to ++
55280555	|	123325338
54399934	|	119836250
56455421	|	133297467
73848199	|	125919594
54544981	|	124805833
56501914	|	120285576
56801572	|	121918930
54620854	|	122680035
56620264	|	119278137
57772158	|	118678586
54756096	|	144759761
54831760	|	120940701
65744006	|	119499743
57839165	|	122754899
55220634	|	119215546
53982449	|	120810764
54254590	|	121579765
57896412	|	120098612
54745770	|	121395747
54139293	|	121237354
57308183	|	118718797
55236072	|	119060133
55179633	|	142470188
58042438	|	120027435
55107863	|	124832901
55146127	|	120843473
57767901	|	118697014
58906111	|	119463400
54041520	|	120308489
58409014	|	119307820


'List to ++' is faster than 'Vector to ++': executed in 46% of time


List to ++	|	Array to ++
114115224	|	39561256
110340805	|	38336506
134128244	|	43292481
114354259	|	38307776
113547855	|	38212273
109612545	|	42318098
110572759	|	38458553
111965567	|	39499534
109685327	|	38772173
115513413	|	38567003
110648444	|	38313495
116386142	|	39258208
110993626	|	38648211
113634225	|	39706020
110515689	|	38317129
110185849	|	40730050
113450755	|	39324966
108643088	|	38507853
112008503	|	40045135
109122182	|	39605566
111648688	|	38222834
111861402	|	40089616
112156238	|	39451884
109292518	|	38544918
112197265	|	38054101
110278755	|	39219709
115010126	|	38722504
110169800	|	38232433
112915815	|	41694404
109292484	|	37872944


'Array to ++' is faster than 'List to ++': executed in 34% of time


List to pattern match	|	Array to pattern match
1815878	|	183081325
1841757	|	187507710
1885522	|	182717264
1840827	|	178802758
1837321	|	185508874
1843212	|	181029846
1853298	|	186039658
1886277	|	183089651
2037884	|	183577871
1875542	|	184018511
1871987	|	183140447
1875648	|	181676384
2074119	|	182803769
1927064	|	182732509
1901995	|	184360392
1871640	|	183077557
1875407	|	187450341
1898936	|	191942328
1909703	|	186654060
1885051	|	207966228
2117826	|	183662132
1875385	|	182727923
1912969	|	183994337
1828044	|	188085026
1930148	|	180759784
2277922	|	193001313
1832536	|	181462172
1861726	|	187928243
1841237	|	183314248
1851799	|	183650136


'List to pattern match' is faster than 'Array to pattern match': executed in 1% of time


List for pattern matching	|	Vector for pattern matching
18186195	|	706176086
18631093	|	691015601
18528817	|	731483869
18207929	|	673668883
18606937	|	676687424
18757628	|	684755274
18436203	|	692461237
18794298	|	682969469
18821579	|	676301339
18490214	|	680438551
18562343	|	676136415
18678989	|	679353150
19184202	|	688634594
18537701	|	683084426
19331910	|	700100683
24257344	|	709833089
20428958	|	683740506
20452088	|	687466341
20241340	|	696958328
20477726	|	687552653
20297099	|	705000205
20301316	|	679253733
20399724	|	685631818
20418809	|	679658203
20548196	|	679557937
20276326	|	708607203
20351967	|	682723201
20508624	|	680054759
20288197	|	683161925
20461806	|	717635776


'List for pattern matching' is faster than 'Vector for pattern matching': executed in 2% of time

