
identity1	|	identity2
207385891	|	210385650
205362500	|	208718969
205182805	|	207958461
204608169	|	209361289
205615726	|	207464513
203672467	|	217998824
202367062	|	205910892
203243414	|	208449281
202181580	|	205415348
202209653	|	206167350
204036499	|	204154866
201804806	|	203883722
201753357	|	204907246
202805143	|	203960353
199579585	|	210460834
201803641	|	208688364
201105866	|	206894281
202244808	|	212643201
201173613	|	206340431
201868055	|	207411469
205862990	|	204257295
206611047	|	204947533
202705124	|	206222515
206397477	|	205051029
200197256	|	206927293
200247089	|	209586371
201667125	|	207218417
203907975	|	206387087
200549184	|	205872225
201855797	|	206715086


'identity1' is faster than 'identity2': executed in 97% of time


identity0.5	|	identity1.0
92245542	|	186305125
91891271	|	177345421
88357752	|	182454750
88598534	|	181426330
90385398	|	180584395
88521153	|	178750767
89483082	|	175991973
89629437	|	181042279
95162294	|	177031538
89484146	|	182302198
88949129	|	190172976
89893534	|	186273606
87234657	|	182464609
87875817	|	182371058
91820536	|	180066303
93884713	|	178137566
91538035	|	178745859
91333145	|	180517692
90288749	|	194461915
88640467	|	179475046
88851103	|	181799281
90846635	|	182237621
91838895	|	180760431
91177958	|	180048049
92880776	|	178016348
91210160	|	177101948
90593414	|	180037362
89389592	|	180651626
89029251	|	190825212
140602140	|	182887785


'identity0.5' is faster than 'identity1.0': executed in 50% of time


Head recursion	|	Tail recursion
186419031	|	158398873
181445373	|	156951692
181385913	|	156717756
184055817	|	157761129
182509360	|	158578255
183547804	|	157414346
182126891	|	157022184
179751334	|	159969168
180959862	|	156368905
183810327	|	156940205
186263959	|	158258513
186281525	|	159350275
181337172	|	159558032
181787119	|	157768411
181529309	|	158772434
189778507	|	163051793
180984384	|	159025430
181349657	|	155747106
183510074	|	154968747
180878181	|	157078458
180655756	|	155449571
183989502	|	154945357
181719601	|	157309783
181362757	|	155769544
184219336	|	157027483
182046775	|	155877829
181083386	|	155549087
183427338	|	156945488
182556994	|	156747057
181610609	|	156488298


'Tail recursion' is faster than 'Head recursion': executed in 86% of time


List to sum	|	Seq to sum
46850976	|	366664
46019551	|	345632
48097718	|	337538
45513306	|	457274
53073301	|	317953
44468485	|	353105
44470625	|	335652
47539813	|	354998
45944736	|	350218
48489441	|	344284
45273683	|	346440
47214706	|	355506
44337905	|	358837
46366613	|	353410
44265161	|	439125
50938511	|	353325
44308967	|	362182
46807098	|	351383
44556543	|	352493
46665465	|	364944
46376756	|	340903
49841911	|	336163
45108657	|	340314
45629073	|	373289
48218146	|	331736
45719279	|	333518
47731671	|	336110
46090197	|	354326
48031374	|	337462
45922990	|	336204


'Seq to sum' is faster than 'List to sum': executed in 0% of time


List to ++	|	Vector to ++
84806811	|	191760628
84608142	|	190525586
84990668	|	192378752
84524372	|	191049575
86232015	|	189347145
86523849	|	189236488
85941008	|	191789675
86524907	|	189680639
84972852	|	191627720
85115613	|	190898280
85612845	|	193625551
84826294	|	191671687
86928042	|	191826104
88305796	|	193971922
88598700	|	192996846
89264994	|	191957619
85372488	|	191493067
85165860	|	232456035
84040137	|	191858507
84173778	|	191400052
86387368	|	191813496
86774412	|	190381324
87095590	|	190093352
87416462	|	188501419
86689833	|	190712679
84580539	|	189286821
84094241	|	190686210
85041590	|	192215472
84435394	|	190901330
86016163	|	188570806


'List to ++' is faster than 'Vector to ++': executed in 44% of time


List to ++	|	Array to ++
171866459	|	47641189
170087501	|	48862885
170728323	|	47198169
172188880	|	50745497
170941741	|	47593960
175054770	|	49511236
170409146	|	47156116
173748305	|	51473887
171536424	|	47226125
170547299	|	47379689
179466459	|	48871654
171814540	|	49712535
173342348	|	50413351
173124127	|	47494682
177768966	|	49186678
175454298	|	47209882
170782091	|	50664177
170276015	|	46909529
171278761	|	50156552
171539684	|	47682263
175172485	|	49996789
170389152	|	47248699
174486428	|	47600946
171368970	|	47683061
173155612	|	48205679
173432063	|	50773588
169841692	|	47807950
170542175	|	49560747
171187345	|	47116844
170677225	|	50888430


'Array to ++' is faster than 'List to ++': executed in 28% of time


List to pattern match	|	Array to pattern match
1561889	|	440318764
1558576	|	442725233
1541734	|	439299260
1556488	|	453568384
1571397	|	443010359
1552066	|	442017256
1562721	|	443744738
1576772	|	440986513
1577797	|	443688872
1552767	|	441569582
1595773	|	440883416
1716582	|	441274077
1551204	|	440554638
1910873	|	444573067
2015586	|	444575294
1694512	|	439899178
1573936	|	452483353
1545245	|	446195909
1552356	|	443027718
1521231	|	447915192
1630031	|	441957628
1585148	|	444865699
1576397	|	446299395
1565295	|	441765652
1587159	|	447247551
1572523	|	441007893
1639136	|	443685325
1548086	|	449426163
1599230	|	445476030
1544829	|	443383299


'List to pattern match' is faster than 'Array to pattern match': executed in 0% of time


List for pattern matching	|	Vector for pattern matching
15746620	|	283739183
16045503	|	293650958
15915549	|	276654504
16002298	|	276956343
16043135	|	282005135
16173590	|	282525557
16156769	|	284683028
15935348	|	283240967
15902466	|	283780531
16013793	|	284589621
15911593	|	274536972
15944363	|	283085976
16284504	|	286855100
16179622	|	284863208
16217817	|	284590716
15885081	|	286562245
15957184	|	285609329
15922236	|	275892688
15935079	|	286117395
16279937	|	283257507
15854537	|	282997683
16117873	|	285619008
16030398	|	284297871
16035542	|	275136471
15852924	|	279248377
15932885	|	288291221
16015624	|	287041584
16016156	|	285087273
16086823	|	286770960
15967407	|	289686850


'List for pattern matching' is faster than 'Vector for pattern matching': executed in 5% of time

