"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.mauritania.minibenchmark.catalog.AcumulateOnArrayOfInt.forLoopWithoutBoxing","thrpt",1,20,3064504.284445,94723.659341,"ops/s"
"org.mauritania.minibenchmark.catalog.AcumulateOnArrayOfInt.genericButSpecialized","thrpt",1,20,51829.436276,8428.239755,"ops/s"
"org.mauritania.minibenchmark.catalog.AcumulateOnArrayOfInt.genericWithBoxing","thrpt",1,20,51552.444540,5340.297472,"ops/s"
"org.mauritania.minibenchmark.catalog.CollectionConcatenation.concatenateOnArray","thrpt",1,20,145.688539,5.311206,"ops/s"
"org.mauritania.minibenchmark.catalog.CollectionConcatenation.concatenateOnList","thrpt",1,20,7.420702,1.915020,"ops/s"
"org.mauritania.minibenchmark.catalog.CollectionConcatenation.concatenateOnVector","thrpt",1,20,11.835863,2.558637,"ops/s"
"org.mauritania.minibenchmark.catalog.CollectionIterationIntermediate.withIntermediateCollections","thrpt",1,20,17414.758588,274.427802,"ops/s"
"org.mauritania.minibenchmark.catalog.CollectionIterationIntermediate.withoutIntermediateCollections","thrpt",1,20,26253.227013,1934.109883,"ops/s"
"org.mauritania.minibenchmark.catalog.CollectionPatternMatching.patternMatchOnArray","thrpt",1,20,6075223.852594,104407.241709,"ops/s"
"org.mauritania.minibenchmark.catalog.CollectionPatternMatching.patternMatchOnList","thrpt",1,20,54785411.702636,7837262.887875,"ops/s"
"org.mauritania.minibenchmark.catalog.CollectionPatternMatching.patternMatchingOnVector","thrpt",1,20,1681240.245920,51521.928849,"ops/s"
"org.mauritania.minibenchmark.catalog.CollectionRandomAccess.randomAccessOnArray","thrpt",1,20,179545533.824165,33966086.350925,"ops/s"
"org.mauritania.minibenchmark.catalog.CollectionRandomAccess.randomAccessOnList","thrpt",1,20,33837745.101411,96767.197210,"ops/s"
"org.mauritania.minibenchmark.catalog.CollectionRandomAccess.randomAccessOnVector","thrpt",1,20,61672899.759445,11717549.931642,"ops/s"
"org.mauritania.minibenchmark.catalog.Identity.identity","thrpt",1,20,172095.517712,884.034512,"ops/s"
"org.mauritania.minibenchmark.catalog.Identity.identityBy2","thrpt",1,20,352639.306253,1635.973621,"ops/s"
"org.mauritania.minibenchmark.catalog.Identity.identityBy4","thrpt",1,20,697823.422165,21429.132704,"ops/s"
"org.mauritania.minibenchmark.catalog.Identity.identitySame","thrpt",1,20,110320.406773,15835.796494,"ops/s"
"org.mauritania.minibenchmark.catalog.IdentityTricky.identity","thrpt",1,20,76192460.560011,29843759.006103,"ops/s"
"org.mauritania.minibenchmark.catalog.IdentityTricky.identityBy2","thrpt",1,20,107490599.462798,12231904.665308,"ops/s"
"org.mauritania.minibenchmark.catalog.IdentityTricky.identityBy4","thrpt",1,20,81194129.248190,16277425.082836,"ops/s"
"org.mauritania.minibenchmark.catalog.IdentityTricky.identitySame","thrpt",1,20,48403323.150989,6622699.723585,"ops/s"
"org.mauritania.minibenchmark.catalog.IdentityTricky.returnAConstant","thrpt",1,20,229286687.165220,15705238.563312,"ops/s"
"org.mauritania.minibenchmark.catalog.IfVsPatternMatching.ifs","thrpt",1,20,71926.826913,10603.630225,"ops/s"
"org.mauritania.minibenchmark.catalog.IfVsPatternMatching.patternMatchings","thrpt",1,20,75322.748792,16192.681400,"ops/s"
"org.mauritania.minibenchmark.catalog.PartialFunctions.filterAndMap","thrpt",1,20,94523.293311,2970.520830,"ops/s"
"org.mauritania.minibenchmark.catalog.PartialFunctions.partialFunction","thrpt",1,20,105680.917937,822.905463,"ops/s"
"org.mauritania.minibenchmark.catalog.PatternMatchingOnCharSO37896511.withPatternMatch","thrpt",1,20,67646.832786,16965.042070,"ops/s"
"org.mauritania.minibenchmark.catalog.PatternMatchingOnCharSO37896511.withoutPatternMatch","thrpt",1,20,89992.187512,2634.888422,"ops/s"
"org.mauritania.minibenchmark.catalog.SeqVsListSum.sumOnList","thrpt",1,20,11909188.840459,445723.296659,"ops/s"
"org.mauritania.minibenchmark.catalog.SeqVsListSum.sumOnSeq","thrpt",1,20,11237725.794848,118965.608015,"ops/s"
"org.mauritania.minibenchmark.catalog.StateVariable.list","thrpt",1,20,41251544.679676,1506557.704540,"ops/s"
"org.mauritania.minibenchmark.catalog.StateVariable.quarterList","thrpt",1,20,41907757.798691,104144.749100,"ops/s"
"org.mauritania.minibenchmark.catalog.TailRecursive.headRecursion","thrpt",1,20,247076.279534,1392.138888,"ops/s"
"org.mauritania.minibenchmark.catalog.TailRecursive.tailRecursion","thrpt",1,20,374910.136118,8110.179852,"ops/s"
